acme_db_cpu,acme_db_mem,acme_web_cpu,acme_web_mem,host_cpu,Time,class,host_mem,httperf_num,httperf_per,request_rate,stress_ng_cpu,total_time
0.2603,10.9438,0.0072,0.6742,2.8,1602158298.0,0.0,26.6739,3125,0.032,238.9,0.0,1.4
5.4129,10.9499,16.8022,0.9441,24.4,1602158311.0,0.0,26.9796,3125,0.032,238.9,0.0,1.4
7.1167,10.9632,19.15,1.1487,20.6,1602158324.0,0.0,27.207,3125,0.032,238.9,0.0,1.4
7.7941,10.9734,18.6321,1.1796,24.5,1602158337.0,0.0,27.2871,3125,0.032,238.9,0.0,1.4
10.716,10.9992,18.6315,1.2169,18.2,1602158350.0,0.0,27.3096,3125,0.032,238.9,0.0,1.4
7.1422,11.0092,15.7221,1.2032,22.7,1602158363.0,0.0,27.3099,3125,0.032,238.9,0.0,1.4
8.9594,11.0212,18.8775,1.2069,20.4,1602158376.0,0.0,27.3181,3125,0.032,238.9,0.0,1.4
6.2888,11.0344,16.7169,1.2174,19.5,1602158389.0,0.0,27.345,3125,0.032,238.9,0.0,1.4
9.5966,11.5346,19.8864,1.2383,32.5,1602158948.0,0.0,29.1928,6250,0.016,469.4,0.0,1.8
17.8814,11.5506,32.376,1.2921,38.4,1602158961.0,0.0,29.2679,6250,0.016,469.4,0.0,1.8
13.7069,11.5757,33.4554,1.2742,35.7,1602158974.0,0.0,29.2597,6250,0.016,469.4,0.0,1.8
11.7837,11.5913,28.1246,1.2511,34.2,1602158987.0,0.0,28.3772,6250,0.016,469.4,0.0,1.8
12.7881,11.613,31.5265,1.2921,34.4,1602159000.0,0.0,28.4355,6250,0.016,469.4,0.0,1.8
20.1044,11.6304,32.1503,1.268,45.3,1602159013.0,0.0,28.4071,6250,0.016,469.4,0.0,1.8
13.7933,11.6391,31.2588,1.2686,35.2,1602159026.0,0.0,28.3944,6250,0.016,469.4,0.0,1.8
13.9866,11.6495,31.2462,1.268,33.7,1602159039.0,0.0,28.3928,6250,0.016,469.4,0.0,1.8
9.2819,11.2989,20.3236,1.4163,36.7,1602159598.0,0.0,30.1502,9375,0.012,631.5,0.0,2.4
17.7994,11.3147,42.8993,1.4457,47.0,1602159611.0,0.0,30.1819,9375,0.012,631.5,0.0,2.4
18.2603,11.3391,38.8513,1.4222,44.8,1602159624.0,0.0,30.1802,9375,0.012,631.5,0.0,2.4
23.4559,11.3637,38.6398,1.3426,50.5,1602159637.0,0.0,29.2419,9375,0.012,631.5,0.0,2.4
16.1629,11.3823,39.8959,1.3431,43.4,1602159650.0,0.0,29.2051,9375,0.012,631.5,0.0,2.4
16.6004,11.412,37.8919,1.41,44.9,1602159663.0,0.0,29.3008,9375,0.012,631.5,0.0,2.4
20.3079,11.4237,45.0511,1.3132,43.4,1602159676.0,0.0,29.209,9375,0.012,631.5,0.0,2.4
17.7876,11.4387,45.237,1.3116,44.0,1602159689.0,0.0,29.179,9375,0.012,631.5,0.0,2.4
24.7181,11.4711,42.1574,1.3365,43.5,1602159702.0,0.0,29.1892,9375,0.012,631.5,0.0,2.4
12.019,12.3807,22.8709,1.4009,52.6,1602160326.0,0.0,30.9456,12500,0.008,939.2,0.0,6.3
27.8177,12.3889,51.8972,1.4606,62.5,1602160339.0,0.0,30.9998,12500,0.008,939.2,0.0,6.3
23.1689,12.4018,60.1233,1.4665,61.4,1602160352.0,0.0,31.0286,12500,0.008,939.2,0.0,6.3
27.3393,12.4223,58.4952,1.4726,64.3,1602160365.0,0.0,30.1637,12500,0.008,939.2,0.0,6.3
