acme_db_cpu,acme_db_mem,acme_web_cpu,acme_web_mem,db_host_cpu,web_host_cpu,Time,class,db_host_mem,httperf_num,httperf_per,request_rate,stress_ng_cpu,total_time,web_host_mem
0.2386,1.352,0.0087,0.3997,2.9,2.4,1602332654,0.0,10.5364,3125,0.032,238.9,0,1.3,9.682
5.5437,1.3567,20.5067,0.8861,6.4,15.0,1602332667,0.0,10.5454,3125,0.032,238.9,0,1.3,10.2098
6.2062,1.3664,15.8658,0.8986,6.4,13.2,1602332680,0.0,10.5399,3125,0.032,238.9,0,1.3,10.2261
7.7901,1.3998,15.1571,0.9348,7.3,13.3,1602332693,0.0,10.562,3125,0.032,238.9,0,1.3,10.2714
6.2099,1.4083,12.5454,0.9387,6.1,11.3,1602332706,0.0,10.5706,3125,0.032,238.9,0,1.3,10.2787
5.8798,1.4154,12.5561,0.9407,6.4,12.2,1602332719,0.0,10.5682,3125,0.032,238.9,0,1.3,10.2883
6.7286,1.4282,12.8963,0.9407,6.7,10.8,1602332732,0.0,10.5856,3125,0.032,238.9,0,1.3,10.2963
5.0279,1.4342,11.5207,0.9486,7.3,10.8,1602332745,0.0,10.58,3125,0.032,238.9,0,1.3,10.3045
5.4297,1.9847,10.0739,0.9598,17.0,26.4,1602333291,0.0,12.8834,6250,0.016,469.4,0,1.5,12.3751
7.7948,1.9925,18.368,0.9781,10.4,20.9,1602333304,0.0,12.8858,6250,0.016,469.4,0,1.5,12.4115
13.6022,2.0124,30.1712,1.0425,9.6,21.6,1602333317,0.0,12.8999,6250,0.016,469.4,0,1.5,12.489
10.0496,2.0234,26.1688,1.0367,9.7,21.2,1602333330,0.0,12.8991,6250,0.016,469.4,0,1.5,11.6005
10.7823,2.0412,27.7713,1.0206,9.6,20.5,1602333343,0.0,12.0556,6250,0.016,469.4,0,1.5,11.5764
11.2936,2.0639,28.7977,1.0384,9.6,19.9,1602333356,0.0,12.0518,6250,0.016,469.4,0,1.5,11.5911
11.5391,2.0772,23.6691,1.0118,9.9,21.1,1602333369,0.0,12.0439,6250,0.016,469.4,0,1.5,11.5592
11.3129,2.0994,26.0581,1.0365,10.1,21.3,1602333382,0.0,12.0502,6250,0.016,469.4,0,1.5,11.5597
10.5453,2.1148,27.4944,1.0494,9.7,20.8,1602333395,0.0,12.0494,6250,0.016,469.4,0,1.5,11.541
9.0976,3.0669,15.4528,1.25,11.1,22.6,1602333954,0.0,14.252,9375,0.012,631.5,0,1.7,13.4895
15.7048,3.0925,31.3381,1.2961,11.7,25.2,1602333967,0.0,14.2584,9375,0.012,631.5,0,1.7,13.5357
16.4803,3.1131,39.047,1.2742,12.0,27.4,1602333980,0.0,14.2728,9375,0.012,631.5,0,1.7,13.517
13.8289,3.1458,36.4586,1.2064,11.7,26.4,1602333993,0.0,13.4137,9375,0.012,631.5,0,1.7,12.5802
14.7752,3.1845,38.6517,1.2265,13.3,27.1,1602334006,0.0,13.4218,9375,0.012,631.5,0,1.7,12.6048
14.2994,3.1995,34.417,1.1896,12.4,26.9,1602334019,0.0,13.4244,9375,0.012,631.5,0,1.7,12.5542
15.7581,3.2324,35.4791,1.2081,12.2,25.9,1602334032,0.0,13.4392,9375,0.012,631.5,0,1.7,12.5717
14.4321,3.2524,37.4867,1.2017,12.1,26.0,1602334045,0.0,13.4334,9375,0.012,631.5,0,1.7,12.5524
16.4062,3.2834,36.2186,1.291,11.9,24.7,1602334058,0.0,13.3907,9375,0.012,631.5,0,1.7,12.622
11.7575,3.5483,23.4707,1.3864,6.3,8.5,1602334669,0.0,15.7804,12500,0.008,939.2,0,2.1,14.3908
21.1173,3.5975,45.8243,1.4056,17.6,39.1,1602334682,0.0,15.8072,12500,0.008,939.2,0,2.1,14.4534
23.4215,3.6278,58.1925,1.3503,17.7,36.1,1602334695,0.0,14.9538,12500,0.008,939.2,0,2.1,14.3763
22.3818,3.6665,59.8071,1.3448,17.9,36.7,1602334708,0.0,14.982,12500,0.008,939.2,0,2.1,13.5048
24.3809,3.7081,54.3803,1.3929,16.0,36.5,1602334721,0.0,15.0017,12500,0.008,939.2,0,2.1,13.5539
22.9783,3.7467,52.6704,1.3688,15.8,36.5,1602334734,0.0,15.0188,12500,0.008,939.2,0,2.1,13.5233
24.9155,3.7919,57.8818,1.3927,16.8,38.3,1602334747,0.0,15.035,12500,0.008,939.2,0,2.1,13.5444
23.2881,3.8193,55.0275,1.4418,16.6,38.1,1602334760,0.0,15.0288,12500,0.008,939.2,0,2.1,13.5914
20.8096,4.5922,38.1753,1.4703,28.3,49.1,1602335319,0.0,17.5787,50000,0.002,1098.4,0,3.5,15.162
27.2244,4.6401,64.3312,1.4221,20.7,44.8,1602335332,0.0,17.6044,50000,0.002,1098.4,0,3.5,15.1162
25.954,4.6656,63.5335,1.4419,18.4,42.8,1602335345,0.0,17.6286,50000,0.002,1098.4,0,3.5,15.135
24.195,4.7092,74.3475,1.4453,20.6,48.9,1602335358,0.0,16.7734,50000,0.002,1098.4,0,3.5,15.1588
27.4455,4.7557,75.4331,1.4446,21.1,47.0,1602335371,0.0,16.8087,50000,0.002,1098.4,0,3.5,14.2566
26.2342,4.7849,52.4366,1.4388,17.4,41.9,1602335384,0.0,16.8246,50000,0.002,1098.4,0,3.5,14.2568
30.4596,4.8467,59.6486,1.4654,17.9,37.8,1602335397,0.0,16.8485,50000,0.002,1098.4,0,3.5,14.2827
23.4945,4.8606,75.9523,1.479,19.2,47.8,1602335410,0.0,16.8558,50000,0.002,1098.4,0,3.5,14.2633
23.3175,4.8913,52.0622,1.4791,11.9,29.7,1602335423,0.0,16.8314,50000,0.002,1098.4,0,3.5,14.2581
19.0355,5.865,37.493,1.5264,16.5,39.0,1602335969,0.0,19.3022,3125,0.032,238.9,0,1.3,15.7593
6.4984,5.8743,14.4992,1.5264,7.1,13.1,1602335982,0.0,19.3133,3125,0.032,238.9,0,1.3,15.7663
6.28,5.8822,12.4199,1.5264,6.6,11.8,1602335995,0.0,19.3153,3125,0.032,238.9,0,1.3,15.7586
11.809,5.9314,14.6584,1.5264,7.8,14.3,1602336008,0.0,18.4714,3125,0.032,238.9,0,1.3,15.6947
6.4604,5.9441,10.2876,1.4839,6.9,11.0,1602336021,0.0,18.4676,3125,0.032,238.9,0,1.3,14.8089
6.4706,5.9513,14.1323,1.4839,6.7,11.5,1602336034,0.0,18.4732,3125,0.032,238.9,0,1.3,14.8067
6.3912,5.9658,14.8237,1.2645,6.7,11.5,1602336047,0.0,18.4754,3125,0.032,238.9,0,1.3,14.5431
7.2621,5.9749,11.0932,1.2645,7.0,10.7,1602336060,0.0,18.4609,3125,0.032,238.9,0,1.3,14.5365
7.6999,6.5189,16.143,1.2907,9.7,19.6,1602336619,0.0,20.1962,6250,0.016,469.4,0,1.5,16.1143
13.6496,6.5455,32.8182,1.2961,10.6,26.2,1602336632,0.0,20.2167,6250,0.016,469.4,0,1.5,16.1548
10.7294,6.5596,23.8595,1.2892,14.3,21.2,1602336645,0.0,20.2237,6250,0.016,469.4,0,1.5,16.1418
11.4491,6.5856,25.3342,1.2897,10.1,19.8,1602336658,0.0,19.3553,6250,0.016,469.4,0,1.5,15.2529
15.6456,6.6151,25.5712,1.308,10.3,19.9,1602336671,0.0,19.3599,6250,0.016,469.4,0,1.5,15.2641
11.0857,6.6276,29.9802,1.2961,10.3,21.3,1602336684,0.0,19.3623,6250,0.016,469.4,0,1.5,15.2467
12.3056,6.654,26.2256,1.3024,10.0,20.4,1602336697,0.0,19.3602,6250,0.016,469.4,0,1.5,15.2473
12.7635,6.6679,28.0932,1.3142,9.9,20.6,1602336710,0.0,19.3538,6250,0.016,469.4,0,1.5,15.2173
6.6368,6.7765,15.5048,1.3834,11.1,22.0,1602337269,0.0,21.3644,9375,0.012,631.5,0,1.7,16.9614
15.4024,6.8046,38.7182,1.414,12.3,25.3,1602337282,0.0,21.379,9375,0.012,631.5,0,1.7,16.9983
14.9687,6.8142,35.2726,1.3702,13.2,25.9,1602337295,0.0,20.5195,9375,0.012,631.5,0,1.7,16.8927
13.3772,6.8394,35.864,1.3214,11.6,25.2,1602337308,0.0,20.5295,9375,0.012,631.5,0,1.7,16.0003
15.6764,6.8596,36.7563,1.3093,13.1,26.7,1602337321,0.0,20.5263,9375,0.012,631.5,0,1.7,15.9783
18.1573,6.8864,34.5614,1.3388,17.0,26.7,1602337334,0.0,20.5264,9375,0.012,631.5,0,1.7,16.0166
