acme_db_cpu,acme_db_mem,acme_web_cpu,acme_web_mem,host_cpu,Time,class,host_mem,httperf_num,httperf_per,request_rate,interference_wkld_intensity,total_time
0.361,1.9544,0.3113,0.5431,5.119,1627768554.0,0.0,14.8517,3125,0.032,238.9,0.0,3.3
7.0118,1.958,18.6892,0.8772,25.8148,1627768567.0,0.0,15.3009,3125,0.032,238.9,0.0,3.3
9.6772,1.9763,17.016,0.9758,25.3,1627768580.0,0.0,15.693,3125,0.032,238.9,0.0,3.3
11.3325,1.9936,19.2793,1.0317,27.3,1627768593.0,0.0,15.799,3125,0.032,238.9,0.0,3.3
8.4464,1.999,14.3938,1.0437,19.9,1627768606.0,0.0,15.4578,3125,0.032,238.9,0.0,3.3
9.3852,2.0114,16.4151,1.0516,22.3,1627768619.0,0.0,15.4757,3125,0.032,238.9,0.0,3.3
8.5624,2.0203,15.6329,1.0536,22.0,1627768632.0,0.0,15.4691,3125,0.032,238.9,0.0,3.3
8.2313,2.043,14.7286,1.0404,21.2,1627768645.0,0.0,15.48,3125,0.032,238.9,0.0,3.3
13.19,2.5632,18.6237,1.1196,38.9,1627769204.0,0.0,16.7594,6250,0.016,469.4,0.0,3.9
18.0869,2.5825,34.2593,1.1738,43.6113,1627769217.0,0.0,16.8008,6250,0.016,469.4,0.0,3.9
17.4271,2.6073,29.0756,1.1312,39.3,1627769230.0,0.0,16.7481,6250,0.016,469.4,0.0,3.9
16.8715,2.6345,31.7465,1.1333,38.5877,1627769243.0,0.0,16.2409,6250,0.016,469.4,0.0,3.9
16.5581,2.6517,27.3036,1.1282,37.0,1627769256.0,0.0,16.2266,6250,0.016,469.4,0.0,3.9
17.6991,2.6735,28.8176,1.1214,38.6,1627769269.0,0.0,16.2203,6250,0.016,469.4,0.0,3.9
17.367,2.6925,32.3974,1.1151,37.5,1627769282.0,0.0,16.2093,6250,0.016,469.4,0.0,3.9
17.2046,2.7273,31.1462,1.1271,36.9,1627769295.0,0.0,16.175,6250,0.016,469.4,0.0,3.9
14.0655,2.2111,20.1471,1.3477,44.3,1627769854.0,0.0,17.422,9375,0.012,631.5,0.0,4.8
21.9953,2.2205,41.7096,1.3742,51.1098,1627769867.0,0.0,17.4603,9375,0.012,631.5,0.0,4.8
20.9985,2.2336,37.6273,1.3111,50.3,1627769880.0,0.0,17.3385,9375,0.012,631.5,0.0,4.8
20.7207,2.2473,41.9229,1.323,45.4891,1627769893.0,0.0,17.3532,9375,0.012,631.5,0.0,4.8
23.1089,2.2692,36.577,1.2908,48.4,1627769906.0,0.0,17.3055,9375,0.012,631.5,0.0,4.8
21.8697,2.2786,35.8129,1.2879,48.3,1627769919.0,0.0,17.2979,9375,0.012,631.5,0.0,4.8
26.0998,2.2908,41.0696,1.305,47.4,1627769932.0,0.0,17.2999,9375,0.012,631.5,0.0,4.8
24.8282,2.3013,39.3288,1.2557,49.0,1627769945.0,0.0,17.2218,9375,0.012,631.5,0.0,4.8
26.5726,2.3257,38.6901,1.2862,46.8,1627769958.0,0.0,17.1881,9375,0.012,631.5,0.0,4.8
17.2177,3.2209,33.5373,1.2901,63.0,1627770582.0,0.0,17.8385,12500,0.008,939.2,0.0,14.3
36.2499,3.2401,51.0827,1.4447,71.6,1627770595.0,0.0,18.0181,12500,0.008,939.2,0.0,14.3
39.0878,3.2597,54.0235,1.4689,70.0,1627770608.0,0.0,18.0026,12500,0.008,939.2,0.0,14.3
33.4573,3.2751,60.2279,1.4748,69.0,1627770621.0,0.0,18.003,12500,0.008,939.2,0.0,14.3
35.5042,3.2997,58.8498,1.4382,67.9,1627770634.0,0.0,17.9462,12500,0.008,939.2,0.0,14.3
41.038,3.3101,62.4973,1.4504,71.6,1627770647.0,0.0,17.9529,12500,0.008,939.2,0.0,14.3
36.2511,3.3252,53.3239,1.4687,69.9,1627770660.0,0.0,17.9602,12500,0.008,939.2,0.0,14.3
32.9975,3.3318,57.0197,1.4503,52.1904,1627770673.0,0.0,17.3525,12500,0.008,939.2,0.0,14.3
23.9459,3.2473,28.3934,1.4797,53.4,1627771232.0,0.0,18.21,50000,0.002,1087.2,0.0,39.9
45.6443,3.2628,72.2234,1.4738,80.1,1627771245.0,0.0,18.1842,50000,0.002,1087.2,0.0,39.9
41.8221,3.2654,62.0262,1.4924,79.4,1627771258.0,0.0,18.1717,50000,0.002,1087.2,0.0,39.9
39.7784,3.276,63.1613,1.4915,70.8,1627771271.0,0.0,18.1538,50000,0.002,1087.2,0.0,39.9
46.0598,3.291,62.1512,1.4984,72.9054,1627771284.0,0.0,17.5611,50000,0.002,1087.2,0.0,39.9
44.9158,3.3272,57.5979,1.474,82.0,1627771297.0,0.0,17.5486,50000,0.002,1087.2,0.0,39.9
41.9743,3.3406,67.843,1.4552,82.7,1627771310.0,0.0,17.518,50000,0.002,1087.2,0.0,39.9
44.4349,3.3649,65.6359,1.4808,80.2,1627771323.0,0.0,17.5326,50000,0.002,1087.2,0.0,39.9
15.312,3.4354,20.7496,1.443,33.6,1627771882.0,0.0,18.3816,3125,0.032,238.9,0.0,3.2
9.8654,3.4448,14.8561,1.4432,22.6143,1627771895.0,0.0,18.3773,3125,0.032,238.9,0.0,3.2
12.6186,3.4636,15.8201,1.4432,21.5,1627771908.0,0.0,18.3576,3125,0.032,238.9,0.0,3.2
9.2718,3.4676,15.6276,1.4432,25.7,1627771921.0,0.0,18.3473,3125,0.032,238.9,0.0,3.2
8.714,3.4752,13.6226,1.4432,21.0,1627771934.0,0.0,18.3165,3125,0.032,238.9,0.0,3.2
9.1863,3.4864,15.0469,1.4432,21.2,1627771947.0,0.0,18.3392,3125,0.032,238.9,0.0,3.2
9.2398,3.4955,15.7057,1.4432,23.6,1627771960.0,0.0,18.2971,3125,0.032,238.9,0.0,3.2
9.2187,3.5223,13.7938,1.2054,21.021,1627771973.0,0.0,17.3228,3125,0.032,238.9,0.0,3.2
7.4538,3.8301,9.988,1.2425,42.0,1627772519.0,0.0,18.0815,6250,0.016,469.4,0.0,3.9
9.8168,3.838,17.1618,1.2667,37.2121,1627772532.0,0.0,18.1496,6250,0.016,469.4,0.0,3.9
19.4491,3.8462,33.4423,1.2862,40.5119,1627772545.0,0.0,18.1567,6250,0.016,469.4,0.0,3.9
18.8486,3.8583,29.7675,1.2733,39.6,1627772558.0,0.0,18.1417,6250,0.016,469.4,0.0,3.9
18.6783,3.868,31.5563,1.2974,37.0,1627772571.0,0.0,18.148,6250,0.016,469.4,0.0,3.9
17.3888,3.8797,30.6564,1.2969,36.0,1627772584.0,0.0,18.1066,6250,0.016,469.4,0.0,3.9
17.9298,3.887,27.1675,1.3087,38.0876,1627772597.0,0.0,18.1176,6250,0.016,469.4,0.0,3.9
17.8818,3.8963,31.1864,1.3095,39.1,1627772610.0,0.0,18.0983,6250,0.016,469.4,0.0,3.9
13.4286,3.9045,23.8948,1.2666,24.6849,1627772623.0,0.0,17.9932,6250,0.016,469.4,0.0,3.9
13.7214,3.6532,21.3248,1.3953,42.8886,1627773182.0,0.0,18.4755,9375,0.012,631.4,0.0,4.8
24.3063,3.6595,38.6488,1.4434,47.2,1627773195.0,0.0,18.5149,9375,0.012,631.4,0.0,4.8
23.6151,3.6754,37.6087,1.3521,46.8,1627773208.0,0.0,18.3899,9375,0.012,631.4,0.0,4.8
19.5944,3.6829,44.264,1.3394,48.2,1627773221.0,0.0,18.3687,9375,0.012,631.4,0.0,4.8
27.6083,3.7087,37.5388,1.3217,53.0,1627773234.0,0.0,18.3552,9375,0.012,631.4,0.0,4.8
22.5906,3.7164,42.1813,1.3085,49.91,1627773247.0,0.0,18.3061,9375,0.012,631.4,0.0,4.8
24.4901,3.7296,39.3159,1.359,47.7,1627773260.0,0.0,18.3426,9375,0.012,631.4,0.0,4.8
22.2292,3.7455,41.8572,1.3408,50.1,1627773273.0,0.0,17.7686,9375,0.012,631.4,0.0,4.8
25.4255,3.7574,43.3869,1.3819,47.8,1627773286.0,0.0,17.7769,9375,0.012,631.4,0.0,4.8
24.9927,4.4453,29.4612,1.4757,83.8,1627773897.0,0.0,18.7517,12500,0.008,938.9,0.0,15.1
32.6554,4.4722,52.2748,1.4241,73.9,1627773910.0,0.0,18.676,12500,0.008,938.9,0.0,15.1
40.0344,4.5001,57.8784,1.4833,70.7,1627773923.0,0.0,18.755,12500,0.008,938.9,0.0,15.1
34.142,4.5216,51.0014,1.4874,67.9,1627773936.0,0.0,18.7454,12500,0.008,938.9,0.0,15.1
39.1352,4.5455,56.5737,1.4867,72.5,1627773949.0,0.0,18.7429,12500,0.008,938.9,0.0,15.1
33.1106,4.5617,55.1544,1.4803,69.5,1627773962.0,0.0,18.7238,12500,0.008,938.9,0.0,15.1
36.365,4.6046,61.0579,1.4381,71.7,1627773975.0,0.0,18.68,12500,0.008,938.9,0.0,15.1
41.4358,4.6233,59.192,1.4686,72.4,1627773988.0,0.0,18.6897,12500,0.008,938.9,0.0,15.1
37.2877,4.6392,55.9348,1.4508,60.4,1627774001.0,0.0,18.6498,12500,0.008,938.9,0.0,15.1
27.233,4.4758,42.0744,1.3605,73.0,1627774560.0,0.0,19.0706,50000,0.002,1077.9,0.0,43.9
39.6642,4.4846,63.774,1.4844,74.2,1627774573.0,0.0,19.1976,50000,0.002,1077.9,0.0,43.9
45.6693,4.5009,60.1824,1.46,81.2,1627774586.0,0.0,19.1424,50000,0.002,1077.9,0.0,43.9
38.0817,4.5086,68.9908,1.4723,81.0,1627774599.0,0.0,19.1301,50000,0.002,1077.9,0.0,43.9
44.6641,4.5164,66.9017,1.4783,76.2,1627774612.0,0.0,19.1229,50000,0.002,1077.9,0.0,43.9
34.3158,4.5259,62.9104,1.4848,75.2,1627774625.0,0.0,18.5743,50000,0.002,1077.9,0.0,43.9
44.393,4.5702,61.5258,1.5153,78.0,1627774638.0,0.0,18.5872,50000,0.002,1077.9,0.0,43.9
39.7062,4.5764,71.5477,1.5093,79.8,1627774651.0,0.0,18.5654,50000,0.002,1077.9,0.0,43.9
13.9719,4.6382,16.4632,1.5365,10.3,1627775210.0,0.0,19.1025,3125,0.032,238.9,0.0,3.2
8.3954,4.6455,16.1364,1.5306,21.9156,1627775223.0,0.0,19.0954,3125,0.032,238.9,0.0,3.2
9.7984,4.6504,15.5069,1.5306,21.8437,1627775236.0,0.0,19.0827,3125,0.032,238.9,0.0,3.2
10.5379,4.656,16.6024,1.2121,22.0,1627775249.0,0.0,18.7124,3125,0.032,238.9,0.0,3.2
11.2549,4.6621,11.9012,1.2124,21.4,1627775262.0,0.0,18.6984,3125,0.032,238.9,0.0,3.2
9.1111,4.6691,15.6574,1.2126,22.6,1627775275.0,0.0,18.6692,3125,0.032,238.9,0.0,3.2
9.0146,4.6753,13.1336,1.2126,20.9,1627775288.0,0.0,18.1335,3125,0.032,238.9,0.0,3.2
9.3227,4.6784,16.0716,1.2126,20.7,1627775301.0,0.0,18.1123,3125,0.032,238.9,0.0,3.2
8.5495,4.9127,13.5549,1.2458,53.7,1627775847.0,0.0,19.1083,6250,0.016,469.4,0.0,3.9
18.333,4.9202,28.1516,1.2815,42.6115,1627775860.0,0.0,19.1504,6250,0.016,469.4,0.0,3.9
17.6542,4.9303,31.536,1.4015,36.1,1627775873.0,0.0,19.0985,6250,0.016,469.4,0.0,3.9
19.3419,4.9399,27.2727,1.3044,39.0122,1627775886.0,0.0,18.9807,6250,0.016,469.4,0.0,3.9
17.0446,4.954,27.158,1.2988,36.4,1627775899.0,0.0,18.9515,6250,0.016,469.4,0.0,3.9
14.258,4.9681,32.0181,1.2816,35.9128,1627775912.0,0.0,18.9419,6250,0.016,469.4,0.0,3.9
24.5082,4.9917,31.0398,1.299,40.6475,1627775925.0,0.0,18.9378,6250,0.016,469.4,0.0,3.9
17.5449,5.0085,31.6544,1.3169,38.8122,1627775938.0,0.0,18.9335,6250,0.016,469.4,0.0,3.9
18.073,4.7737,32.1703,1.4398,77.1,1627776497.0,0.0,19.1853,9375,0.012,631.5,0.0,4.9
19.0077,4.7831,34.2484,1.3851,50.7,1627776510.0,0.0,19.106,9375,0.012,631.5,0.0,4.9
23.5038,4.8209,40.7749,1.3907,49.0,1627776523.0,0.0,19.1309,9375,0.012,631.5,0.0,4.9
26.2849,4.8449,40.3672,1.3295,47.9,1627776536.0,0.0,19.064,9375,0.012,631.5,0.0,4.9
23.9435,4.8743,43.0051,1.349,46.7,1627776549.0,0.0,19.0848,9375,0.012,631.5,0.0,4.9
24.3973,4.895,39.5783,1.3609,50.6099,1627776562.0,0.0,19.094,9375,0.012,631.5,0.0,4.9
23.3481,4.9242,44.6471,1.4092,48.6,1627776575.0,0.0,19.1406,9375,0.012,631.5,0.0,4.9
30.1645,4.9657,44.0505,1.3788,55.6,1627776588.0,0.0,19.1009,9375,0.012,631.5,0.0,4.9
20.7117,4.9741,39.7121,1.3731,50.5,1627776601.0,0.0,19.0596,9375,0.012,631.5,0.0,4.9
17.3562,5.6566,24.0817,1.4729,37.3,1627777225.0,0.0,19.4023,12500,0.008,939.0,0.0,15.8
38.0762,5.667,61.2022,1.4483,74.805,1627777238.0,0.0,19.4195,12500,0.008,939.0,0.0,15.8
39.3764,5.6795,58.299,1.5027,69.2062,1627777251.0,0.0,19.459,12500,0.008,939.0,0.0,15.8
34.6997,5.6915,52.8205,1.4966,69.3,1627777264.0,0.0,19.4358,12500,0.008,939.0,0.0,15.8
44.3315,5.7068,64.4822,1.4903,71.4,1627777277.0,0.0,19.4166,12500,0.008,939.0,0.0,15.8
37.933,5.7142,53.682,1.4964,71.0058,1627777290.0,0.0,18.8468,12500,0.008,939.0,0.0,15.8
39.244,5.7333,57.1788,1.4964,73.6947,1627777303.0,0.0,18.846,12500,0.008,939.0,0.0,15.8
36.5487,5.7467,66.3019,1.4719,71.1,1627777316.0,0.0,18.8045,12500,0.008,939.0,0.0,15.8
33.0568,5.6368,65.4136,1.4332,82.4965,1627777888.0,0.0,19.9331,50000,0.002,1082.4,0.0,42.7
53.3633,5.6578,66.4797,1.474,77.8,1627777901.0,0.0,19.9562,50000,0.002,1082.4,0.0,42.7
37.7468,5.6688,63.5604,1.4795,73.2,1627777914.0,0.0,19.9424,50000,0.002,1082.4,0.0,42.7
44.1364,5.6787,65.8137,1.4799,79.0,1627777927.0,0.0,19.9282,50000,0.002,1082.4,0.0,42.7
45.0735,5.6902,71.5469,1.4975,82.0,1627777940.0,0.0,19.9229,50000,0.002,1082.4,0.0,42.7
43.3547,5.7091,60.025,1.4746,86.3,1627777953.0,0.0,19.2528,50000,0.002,1082.4,0.0,42.7
47.9285,5.722,70.6058,1.5163,79.0,1627777966.0,0.0,19.2499,50000,0.002,1082.4,0.0,42.7
38.1787,5.7233,71.3265,1.4917,79.8,1627777979.0,0.0,19.1908,50000,0.002,1082.4,0.0,42.7
7.4214,5.8861,15.457,1.475,15.4,1627778538.0,0.0,19.9696,3125,0.032,238.9,0.0,3.2
