acme_db_cpu,acme_db_mem,acme_web_cpu,acme_web_mem,db_host_cpu,web_host_cpu,Time,class,db_host_mem,httperf_num,httperf_per,request_rate,interference_wkld_intensity,total_time,web_host_mem
0.4993,1.437,2.1164,0.525,7.1,7.2,1627835751.0,0.0,12.2304,3125,0.032,238.9,0.0,1.2,11.894
7.8692,1.4467,21.1701,0.9693,10.6,17.1,1627835764.0,0.0,12.2383,3125,0.032,238.9,0.0,1.2,12.3689
8.0554,1.4623,14.0402,0.9782,9.7,15.2,1627835777.0,0.0,12.233,3125,0.032,238.9,0.0,1.2,12.0495
9.9013,1.4719,16.4408,1.0369,10.2821,17.1,1627835790.0,0.0,11.8851,3125,0.032,238.9,0.0,1.2,12.032
7.4465,1.4949,12.8074,1.0426,9.2,12.2,1627835803.0,0.0,11.8312,3125,0.032,238.9,0.0,1.2,12.0182
8.2336,1.5013,15.2584,1.0449,10.0,15.7,1627835816.0,0.0,12.2288,3125,0.032,238.9,0.0,1.2,12.4212
8.6542,1.5163,14.1189,1.0659,9.9,15.6,1627835829.0,0.0,12.2696,3125,0.032,238.9,0.0,1.2,12.3436
6.8825,1.5271,14.2463,1.0487,11.1,14.4,1627835842.0,0.0,12.2211,3125,0.032,238.9,0.0,1.2,12.2623
3.5838,2.0279,6.0224,1.1179,46.2893,20.1,1627836388.0,0.0,13.3058,6250,0.016,469.4,0.0,1.3,13.5967
13.4346,2.0402,25.4066,1.1436,13.8828,23.3,1627836401.0,0.0,13.3157,6250,0.016,469.4,0.0,1.3,13.6307
16.4097,2.0667,26.8188,1.1862,12.2,22.8,1627836414.0,0.0,13.3177,6250,0.016,469.4,0.0,1.3,13.6644
16.1277,2.0945,27.828,1.1618,14.2,22.0,1627836427.0,0.0,13.4894,6250,0.016,469.4,0.0,1.3,13.6557
14.1833,2.11,26.1868,1.1678,13.6,23.8,1627836440.0,0.0,13.3078,6250,0.016,469.4,0.0,1.3,12.9589
14.3696,2.1287,24.5889,1.1547,13.7828,23.1,1627836453.0,0.0,12.7543,6250,0.016,469.4,0.0,1.3,12.9363
15.5073,2.1548,28.5562,1.1616,14.1,23.6,1627836466.0,0.0,12.7695,6250,0.016,469.4,0.0,1.3,12.9428
15.0804,2.1771,27.9045,1.1739,13.8,22.1,1627836479.0,0.0,12.7547,6250,0.016,469.4,0.0,1.3,12.9388
8.5257,2.9472,14.1982,1.3312,58.4,34.7,1627837038.0,0.0,13.954,9375,0.012,631.3,0.0,1.5,13.8281
