acme_db_cpu,acme_db_mem,acme_web_cpu,acme_web_mem,host_cpu,Time,class,host_mem,httperf_num,httperf_per,request_rate,stress_ng_cpu,total_time
1.9693,1.5348,4.6306,0.5505,25.8,1598736252,0.0,9.4571,3125,0.032,238.9,0,1.8
8.04,1.5423,18.634,0.9067,38.2,1598736265,0.0,9.4468,3125,0.032,238.9,0,1.8
7.625,1.5508,16.7017,0.9098,36.9,1598736278,0.0,9.4637,3125,0.032,238.9,0,1.8
7.8655,1.5671,20.0176,0.9488,28.0,1598736291,0.0,9.4093,3125,0.032,238.9,0,1.8
6.1487,1.5768,12.7719,0.9533,19.8,1598736304,0.0,9.4257,3125,0.032,238.9,0,1.8
8.1019,1.5874,17.877,0.9552,20.084,1598736317,0.0,9.4359,3125,0.032,238.9,0,1.8
8.2109,1.596,13.67,0.9561,18.2,1598736330,0.0,9.4397,3125,0.032,238.9,0,1.8
6.9009,1.6071,13.8912,0.9562,18.2,1598736343,0.0,9.4524,3125,0.032,238.9,0,1.8
4.5073,2.0982,9.1599,0.9707,5.8,1598736889,0.0,9.6627,6250,0.016,469.4,0,2.2
11.9508,2.1154,29.1482,1.0261,34.3,1598736902,0.0,9.7385,6250,0.016,469.4,0,2.2
13.8148,2.1398,35.2521,1.0478,33.7,1598736915,0.0,9.7836,6250,0.016,469.4,0,2.2
13.1192,2.1571,32.4957,1.0309,33.9,1598736928,0.0,9.8114,6250,0.016,469.4,0,2.2
13.0386,2.1857,34.3632,1.0499,32.1,1598736941,0.0,9.8386,6250,0.016,469.4,0,2.2
11.2315,2.1998,29.0402,1.0321,31.9,1598736954,0.0,9.8307,6250,0.016,469.4,0,2.2
16.0246,2.2359,29.6231,1.0221,36.6,1598736967,0.0,9.8253,6250,0.016,469.4,0,2.2
12.8373,2.2566,30.692,1.0468,32.9,1598736980,0.0,9.8883,6250,0.016,469.4,0,2.2
11.559,3.2036,23.6785,1.1019,6.8,1598737539,0.0,10.4735,9375,0.012,631.5,0,2.7
15.3156,3.2264,34.9609,1.0768,41.8,1598737552,0.0,10.4588,9375,0.012,631.5,0,2.7
20.1619,3.2688,45.1355,1.1155,45.3,1598737565,0.0,10.5355,9375,0.012,631.5,0,2.7
18.4734,3.2867,37.9153,1.1001,43.6,1598737578,0.0,10.571,9375,0.012,631.5,0,2.7
15.1941,3.3151,39.7897,1.1208,41.3,1598737591,0.0,10.5889,9375,0.012,631.5,0,2.7
17.6836,3.3361,41.103,1.1636,42.6,1598737604,0.0,10.646,9375,0.012,631.5,0,2.7
18.1561,3.3711,45.7575,1.1395,42.8,1598737617,0.0,10.6464,9375,0.012,631.5,0,2.7
19.6381,2.4489,39.5185,1.0863,43.7,1598737630,0.0,10.6387,9375,0.012,631.5,0,2.7
17.0892,2.4685,40.3088,1.0895,44.9,1598737643,0.0,10.6685,9375,0.012,631.5,0,2.7
6.8649,3.682,12.8642,1.1586,11.2,1598738267,0.0,11.3757,12500,0.008,939.2,0,5.8
29.6565,3.7185,58.8634,1.3097,64.4,1598738280,0.0,11.6026,12500,0.008,939.2,0,5.8
24.353,3.7537,60.7656,1.3519,60.2,1598738293,0.0,11.6728,12500,0.008,939.2,0,5.8
25.2464,3.795,53.3699,1.3239,59.2,1598738306,0.0,11.6542,12500,0.008,939.2,0,5.8
28.2672,3.8259,54.2807,1.3437,60.8,1598738319,0.0,11.6928,12500,0.008,939.2,0,5.8
25.695,3.8684,55.1236,1.336,59.8,1598738332,0.0,11.7632,12500,0.008,939.2,0,5.8
28.404,3.9147,54.7255,1.3774,65.8,1598738345,0.0,11.8382,12500,0.008,939.2,0,5.8
30.9137,3.9527,63.1162,1.3651,62.7,1598738358,0.0,11.8852,12500,0.008,939.2,0,5.8
11.8558,4.7683,23.7861,1.4214,24.7,1598738917,0.0,12.8452,50000,0.002,1112.8,0,18.7
34.2421,4.7969,67.3156,1.38,70.1,1598738930,0.0,12.8511,50000,0.002,1112.8,0,18.7
32.2568,4.8201,66.4096,1.4139,69.1,1598738943,0.0,12.9257,50000,0.002,1112.8,0,18.7
32.109,4.8656,65.8924,1.4204,73.9,1598738956,0.0,12.9323,50000,0.002,1112.8,0,18.7
32.0971,4.8876,68.5572,1.4325,73.1,1598738969,0.0,12.9754,50000,0.002,1112.8,0,18.7
31.3167,4.9186,70.2338,1.4385,71.1,1598738982,0.0,13.0037,50000,0.002,1112.8,0,18.7
34.1702,4.9487,65.3117,1.4269,68.6,1598738995,0.0,12.9825,50000,0.002,1112.8,0,18.7
31.6697,4.9773,64.6188,1.4272,66.7,1598739008,0.0,13.0381,50000,0.002,1112.8,0,18.7
6.5041,6.0473,15.6975,1.4862,16.5,1598739554,0.0,14.1075,3125,0.032,238.9,0,1.6
7.257,6.0782,14.2475,1.4315,19.3,1598739567,0.0,14.0582,3125,0.032,238.9,0,1.6
7.2636,6.0881,15.952,1.4315,18.6,1598739580,0.0,14.0581,3125,0.032,238.9,0,1.6
8.1592,6.1001,16.4316,1.2601,17.5,1598739593,0.0,13.8713,3125,0.032,238.9,0,1.6
6.5923,6.1109,15.1734,1.2655,19.5,1598739606,0.0,13.8741,3125,0.032,238.9,0,1.6
7.7619,6.1203,14.7868,1.2536,22.4,1598739619,0.0,13.8634,3125,0.032,238.9,0,1.6
6.4357,6.154,15.4364,1.2536,16.7,1598739632,0.0,13.8448,3125,0.032,238.9,0,1.6
6.6832,6.1617,13.7481,1.2425,18.2,1598739645,0.0,13.8332,3125,0.032,238.9,0,1.6
2.3197,6.6383,6.4102,1.2167,7.1,1598740191,0.0,13.933,6250,0.016,469.4,0,2.2
12.2402,6.6486,30.7846,1.2581,36.3,1598740204,0.0,13.9987,6250,0.016,469.4,0,2.2
14.4369,6.6645,35.266,1.2578,32.2,1598740217,0.0,14.0259,6250,0.016,469.4,0,2.2
18.4471,6.6941,30.6517,1.259,34.5,1598740230,0.0,14.0106,6250,0.016,469.4,0,2.2
11.9312,6.7087,33.3934,1.264,33.3,1598740243,0.0,14.0462,6250,0.016,469.4,0,2.2
10.9848,6.7286,28.833,1.2475,31.4,1598740256,0.0,14.0583,6250,0.016,469.4,0,2.2
14.0448,6.742,28.8555,1.284,33.4,1598740269,0.0,14.083,6250,0.016,469.4,0,2.2
16.5375,6.7642,33.7765,1.2732,34.4,1598740282,0.0,14.118,6250,0.016,469.4,0,2.2
