acme_db_cpu,acme_db_mem,acme_web_cpu,acme_web_mem,db_host_cpu,web_host_cpu,Time,class,db_host_mem,httperf_num,httperf_per,request_rate,interference_wkld_intensity,total_time,web_host_mem
1.1521,1.4536,4.1105,0.5007,1.9,8.0,1602036094.0,0.0,7.8432,3125,0.032,238.9,0.0,1.1,7.1585
5.7164,1.4588,21.1059,0.8913,6.4,14.5,1602036107.0,0.0,7.8448,3125,0.032,238.9,0.0,1.1,7.5383
5.5892,1.4739,14.0042,0.913,5.8,11.8,1602036120.0,0.0,7.8499,3125,0.032,238.9,0.0,1.1,7.5992
6.429,1.4813,17.4506,0.9678,6.7,11.3,1602036133.0,0.0,7.8508,3125,0.032,238.9,0.0,1.1,7.6635
5.3919,1.4961,10.9197,0.9813,5.8,10.2,1602036146.0,0.0,7.8657,3125,0.032,238.9,0.0,1.1,7.6697
6.1197,1.5109,16.5566,0.979,6.2,13.3,1602036159.0,0.0,7.88,3125,0.032,238.9,0.0,1.1,7.6652
6.0343,1.5348,14.644,0.9902,7.0,12.0,1602036172.0,0.0,7.8858,3125,0.032,238.9,0.0,1.1,7.6728
5.5037,1.5443,13.4305,0.9755,6.6,11.3,1602036185.0,0.0,7.8969,3125,0.032,238.9,0.0,1.1,7.6589
2.8198,2.0576,5.7032,1.0224,30.1,6.8,1602036744.0,0.0,8.1765,6250,0.016,469.4,0.0,1.3,7.8393
10.9921,2.071,23.6299,1.0655,9.3,21.3,1602036757.0,0.0,8.186,6250,0.016,469.4,0.0,1.3,7.9204
10.7586,2.0862,25.8113,1.0728,10.3,19.9,1602036770.0,0.0,8.1965,6250,0.016,469.4,0.0,1.3,7.9199
11.0638,2.1049,29.4124,1.097,9.4,19.7,1602036783.0,0.0,8.1983,6250,0.016,469.4,0.0,1.3,7.9719
10.4395,2.1331,29.9938,1.1369,8.8,19.9,1602036796.0,0.0,8.2187,6250,0.016,469.4,0.0,1.3,7.9736
11.2982,2.1532,26.2308,1.0911,8.7,19.7,1602036809.0,0.0,8.2212,6250,0.016,469.4,0.0,1.3,7.9523
11.1348,2.1677,28.7202,1.0903,9.5,21.2,1602036822.0,0.0,8.2408,6250,0.016,469.4,0.0,1.3,7.9516
10.6556,2.2035,26.8951,1.1021,9.6,20.3,1602036835.0,0.0,8.2513,6250,0.016,469.4,0.0,1.3,7.9691
3.1453,3.1129,7.0235,1.3103,4.1,20.8,1602037407.0,0.0,8.7295,9375,0.012,631.5,0.0,1.5,8.2207
14.8811,3.1405,40.2017,1.2496,12.0,27.4,1602037420.0,0.0,8.7518,9375,0.012,631.5,0.0,1.5,8.1718
15.0244,3.1614,34.6005,1.2276,11.4,25.8,1602037433.0,0.0,8.773,9375,0.012,631.5,0.0,1.5,8.1486
14.5578,3.199,33.2857,1.2311,11.8,26.3,1602037446.0,0.0,8.7897,9375,0.012,631.5,0.0,1.5,8.1558
12.7448,3.2258,32.8477,1.2189,11.1,26.2,1602037459.0,0.0,8.8046,9375,0.012,631.5,0.0,1.5,8.1761
15.1087,3.2487,36.7511,1.2289,10.9,26.4,1602037472.0,0.0,8.8152,9375,0.012,631.5,0.0,1.5,8.1911
